Cluster	gene.ID	gene.name	Adipose	Islet	Liver	SkeletalMuscle
immune system activation	ENSMUSG00000001020	S100a4	0.0367381801932527	0.00806137962597138	0.0111870101054606	0.0157309002693264
immune system activation	ENSMUSG00000002111	Spi1	0.0368026659522704	-0.0014994503926235	0.000564861302954014	-0.00329546241267667
immune system activation	ENSMUSG00000003348	Mob3a	0.0382621695638585	-0.00452857039289704	0.0133929035500251	-0.00599988323382266
immune system activation	ENSMUSG00000004383	Large1	0.0385178417311744	0.0102165061831052	0.00263339762781068	0.00864276878733222
immune system activation	ENSMUSG00000004933	Matk	0.0366322993201692	0.00204681230145816	0.00583425403219504	-0.00306879463579998
immune system activation	ENSMUSG00000005054	Cstb	0.0381268296525643	-0.00405234575465133	0.0130544186299873	0.00760405420462581
immune system activation	ENSMUSG00000005087	Cd44	0.0375666307483169	0.0123970082114102	-0.00154297909388734	0.00896137177776301
immune system activation	ENSMUSG00000013698	Pea15a	0.0378470731311578	-0.00229905505690593	0.00742404587112433	0.0110839646173628
immune system activation	ENSMUSG00000017670	Elmo2	0.0371340849535878	0.00466682549641636	0.000799231450134822	-0.00494463501433015
immune system activation	ENSMUSG00000018008	Cyth4	0.0382792789154601	-0.00356228988661783	0.0058065631825497	-0.0008569082151562
immune system activation	ENSMUSG00000018293	Pfn1	0.0386874856071156	-0.0176780492992807	0.000876618482665452	-0.00543084325708945
immune system activation	ENSMUSG00000018774	Cd68	0.0369173796237454	-0.0114822201138678	0.00369635567192058	0.0008748933421263
immune system activation	ENSMUSG00000019302	Atp6v0a1	0.0385261190859409	0.0021577892106788	0.0174730374187716	-0.00213841286811098
immune system activation	ENSMUSG00000020152	Actr2	0.0387371419489168	-0.00997965867972143	0.0179537638063367	0.00360991498998793
immune system activation	ENSMUSG00000020522	Mfap3	0.0376282336853524	0.00243921398981726	0.00532346616419634	0.00264934036778718
immune system activation	ENSMUSG00000020661	Dnmt3a	0.036669034721888	-0.00563408265745249	-0.0175994229080153	0.00984482041403811
immune system activation	ENSMUSG00000020695	Mrc2	0.0379931650813525	0.00577488966221119	0.00971155373288451	0.0131848294884237
immune system activation	ENSMUSG00000021277	Traf3	0.0372587461279271	-0.00428595739369514	0.0134876907910405	0.00963009212435854
immune system activation	ENSMUSG00000021624	Cd180	0.0385436274604495	-0.00555180524654901	0.00617265314970866	-0.00639153348332563
immune system activation	ENSMUSG00000021998	Lcp1	0.0375923573530138	-0.00602341640767672	0.00567301667611088	-0.00596973664467926
immune system activation	ENSMUSG00000022488	Nckap1l	0.0381727192459098	0.00018410109290996	-4.06339458631548e-05	-0.00827327556814482
immune system activation	ENSMUSG00000022965	Ifngr2	0.0389026597937243	0.00104435504154268	0.0148753035398377	0.00283037501328398
immune system activation	ENSMUSG00000024165	Jpt2	0.0379167507650212	-0.00644083242628698	0.0125955435577452	0.000239545184282759
immune system activation	ENSMUSG00000024300	Myo1f	0.0378879443998142	0.00667934552949647	0.0031589346919409	-0.00546093289821233
immune system activation	ENSMUSG00000024663	Rab3il1	0.0372478985783437	-0.00588029019276197	-0.00420822778688579	0.00764395889209601
immune system activation	ENSMUSG00000024776	Stambpl1	0.0374494446443063	0.0098051065026871	0.00618031216908348	0.00414256186030591
immune system activation	ENSMUSG00000024900	Cpt1a	0.0371289533930813	0.0210287834562545	-0.00595172727663703	-0.00882200958288802
immune system activation	ENSMUSG00000025044	Msr1	0.0370618276324057	0.00149100199959549	0.00857149002161653	-0.000785344339380883
immune system activation	ENSMUSG00000025473	Adam8	0.0367120110488739	0.00119104344530575	0.00969888968626787	-0.00813945031019154
immune system activation	ENSMUSG00000025534	Gusb	0.0385346833009984	0.0057185921683112	0.00882947715038106	0.0107382120338969
immune system activation	ENSMUSG00000025648	Pfkfb4	0.0366805155355119	-0.0112298033302778	0.0119191134893405	-0.00375571186898896
immune system activation	ENSMUSG00000026042	Col5a2	0.0387076120096134	0.0111278962171535	-0.0100508668132929	0.0101394294373515
immune system activation	ENSMUSG00000026276	Septin2	0.0374023223432774	-0.0170827380407248	0.00824135959126788	0.00365973953957432
immune system activation	ENSMUSG00000026433	Rab29	0.0367037773938413	-0.00873660200855543	0.0143844911224277	0.000150050366906784
immune system activation	ENSMUSG00000026586	Prrx1	0.0391241374879948	0.0101950477270135	0.00856046972132381	0.011644167763325
immune system activation	ENSMUSG00000026749	Nek6	0.0375734915784265	0.00882074300217685	0.0222139148585515	-0.00961750438926686
immune system activation	ENSMUSG00000027293	Ehd4	0.0388511209552099	-0.00445556225772799	0.015471916721216	0.00624783151994049
immune system activation	ENSMUSG00000027475	Kif3b	0.0396388244205491	-0.0150248088553087	0.00974519280866347	0.00593326259795273
immune system activation	ENSMUSG00000027852	Nras	0.0373279467412378	-0.00298226256445935	0.0124916769977615	-0.000911867899220257
immune system activation	ENSMUSG00000028238	Atp6v0d2	0.0376695320423635	0.0100061790626991	-0.00435346667819598	0.00438227706412172
immune system activation	ENSMUSG00000028745	Capzb	0.037588219265728	-0.0194031932650097	0.0162423769966587	-0.00754054099933375
immune system activation	ENSMUSG00000028849	Map7d1	0.038022106281175	0.00673950333507677	-0.000582275314967281	0.00886644789533377
immune system activation	ENSMUSG00000028931	Kcnab2	0.0381449944400117	-0.00361490836279935	0.0017319484032806	-0.00795212722863701
immune system activation	ENSMUSG00000029234	Tmem165	0.0380020378433358	0.00956128329354318	0.0101827522229164	0.00222472030226658
immune system activation	ENSMUSG00000029767	Calu	0.0392849799959212	-0.000351900703473793	-0.000143702691539548	0.0136853045461702
